CourseID,Course Name,Credits,Prerequisites/Concurrent PHYS Lab/Possible CS257 (or 58) Co-req for CS392,Category,Popularity Score,Semester Offered,Typical Year Recommended
CSCI151,Intro to Computer Science I,4,,Core,100.0,fall,1
CSCI152,Intro to Computer Science II,4,CSCI151,Core,100.0,spring,1
CSCI257,Object-Oriented Programming,4,CSCI152,Core,100.0,fall,2
CSCI258,Data Structures and Algorithms,4,CSCI257,Core,100.0,spring,2
CSCI264,Comp. Structure & Assembly Language,4,,Core,100.0,spring,2
CSCI347,Computer Architecture I,3,"CSCI258,CSCI264",Core,100.0,spring,3
CSCI344,Programming Languages,3,CSCI258,Core,100.0,spring,3
CSCI373,Software Engineering,3,CSCI258,Core,100.0,spring,3
CSCI398,Research Topics,1,,Core,100.0,spring,3
CSCI451,Operating Systems I,3,CSCI258,Core,100.0,fall,4
CSCI408,Senior Project I,2,CSCI398,Core,100.0,fall,4
CSCI409,Senior Project II,2,CSCI408,Core,100.0,spring,4
MATH151,Elementary Discrete Mathematics I,3,,Math,100.0,both,1
MATH152,Elementary Discrete Mathematics II,3,MATH151,Math,100.0,both,1
MATH141,Calculus I,4,,Math,100.0,both,1
MATH142,Calculus II,4,MATH141,Math,100.0,both,1
MATH273,Introduction to Probability,3,MATH142,Math,100.0,both,4
PHYS111,Physics of Digital Circuits,2,,Physics,100.0,fall,2
PHYS141,College Physics I,4,,Physics,100.0,fall,3
PHYS143,College Physics I Lab,1,PHYS141,Physics,100.0,fall,3
PHYS142,College Physics II,4,PHYS141,Physics,100.0,spring,3
PHYS144,College Physics II Lab,1,PHYS142,Physics,100.0,spring,3
PHIL120,Symbolic Logic,3,,Philosophy,100.0,both,2
ASC101,Thinking Through,3,,Gen Ed,100.0,both,1
ASC401,Transformations Capstone,3,,Gen Ed,100.0,both,4
ENGL101,"Reading, Thinking and Writing",3,,Gen Ed,100.0,fall,1
CSCI391,Practical Cryptology,3,"CSCI151, MATH151, PHIL120", Security Elective,66.0,spring,2
CSCI392,Network and Computer Security,3,"CSCI391, CSCI257",Security Elective,57.0,fall,3
CSCI348,Computer Architecture II,3,CSCI347,Systems/Theory Elective,5.0,fall,3
CSCI452,OSs II,3,CSCI451,Systems/Theory Elective,1.0,spring,4
CSCI355,Artificial Intelligence I,3,"CSCI258, PHIL120",AI Elective,55.0,fall,4
CSCI381,Computer Network I,3,CSCI152,Systems/Theory Elective,18.0,fall,2
CSCI356,Artificial Intelligence II,3,CSCI355,AI Elective,13.0,spring,4
CSCI382,Computer Networking II,3,CSCI381,Systems/Theory Elective,9.0,spring,2
CSCI311,Mobile App Development,3,CSCI258,Development Elective,43.75,spring,3
CSCI434,Database Systems I,3,CSCI258,Data Elective,77.0,fall,3
CSCI435,Database Systems II,3,CSCI434, Data Elective,74.0,spring,3
CSCI349,Parallel Computing,3,CSCI258,Systems/Theory based Elective,60.0,fall,3
CSCI350,Parallel Computing II,3,CSCI349,Systems/Theory Elective,50.0,spring,3
CSCI371,Computer Graphics (I),3,CSCI258,Development Elective,72.0,fall,3
CSCI372,Computer Graphics 2,3,CSCI371,Development Elective,70.0,spring,3
CSCI375,Game Design & Programming,3,CSCI257,Gaming Elective,74.0,fall,3
CSCI376,Game Design & Programming 2,3,CSCI375,Gaming Elective,71.0,spring,3
CSCI393,Computer Forensics,3,"MATH151, PHIL120",Security Elective,75.0,spring,2
